City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Novyy Urengoy,RU,2020-10-27 02:32:30,66.08,76.63,0.25,92,0,8.81
128,Kholtoson,RU,2020-10-27 02:32:30,50.3,103.31,32.58,78,81,2.8
129,Penzance,GB,2020-10-27 02:32:30,50.12,-5.54,50.0,93,100,17.22
130,Dingle,PH,2020-10-27 02:32:30,11.0,122.67,85.12,74,88,9.06
131,Portsoy,GB,2020-10-27 02:32:31,57.68,-2.69,48.0,93,75,9.17
132,Narsaq,GL,2020-10-27 02:32:31,60.92,-46.05,35.6,43,89,1.12
133,Kinwat,IN,2020-10-27 02:32:31,19.63,78.2,77.83,65,29,1.7
134,Aksarka,RU,2020-10-27 02:32:31,66.56,67.8,2.17,94,20,4.47
135,Tres Arroyos,AR,2020-10-27 02:32:31,-38.37,-60.28,55.58,60,2,12.35
136,Itarema,BR,2020-10-27 02:32:23,-2.92,-39.92,77.31,85,2,10.94
137,Navolato,MX,2020-10-27 02:29:12,24.77,-107.69,80.01,75,0,1.99
138,Bredasdorp,ZA,2020-10-27 02:32:32,-34.53,20.04,64.4,88,47,3.36
139,Nioro,GM,2020-10-27 02:32:32,13.35,-15.75,75.74,87,0,4.61
140,Faya,SA,2020-10-27 02:32:32,18.39,42.45,53.6,25,0,3.36
141,Bathsheba,BB,2020-10-27 02:32:33,13.22,-59.52,78.8,78,75,17.22
142,Otane,NZ,2020-10-27 02:32:33,-39.88,176.63,55.0,91,100,1.99
143,Rawson,AR,2020-10-27 02:32:19,-43.3,-65.1,61.66,38,98,11.72
144,Abu Samrah,SY,2020-10-27 02:32:33,35.3,37.18,61.63,31,0,3.49
145,Haines Junction,CA,2020-10-27 02:32:33,60.75,-137.51,31.53,94,1,3.02
146,Vieques,PR,2020-10-27 02:32:34,18.43,-65.83,82.4,74,40,13.87
147,Butaritari,KI,2020-10-27 02:32:34,3.07,172.79,81.64,66,7,9.44
148,Hastings,GB,2020-10-27 02:30:01,50.86,0.57,48.0,91,3,3.0
149,Victoria,HK,2020-10-27 02:32:04,22.29,114.16,82.99,59,21,17.0
150,Bourail,NC,2020-10-27 02:32:35,-21.57,165.48,82.47,45,5,5.68
151,Kayes,ML,2020-10-27 02:32:35,14.0,-11.0,74.34,19,12,2.04
152,Haukipudas,FI,2020-10-27 02:32:35,65.18,25.35,43.0,100,90,4.7
153,Inta,RU,2020-10-27 02:32:35,66.03,60.17,15.51,92,100,4.72
154,Calatayud,ES,2020-10-27 02:32:36,41.35,-1.64,53.6,72,0,1.12
155,Ilheus,BR,2020-10-27 02:32:36,-14.79,-39.05,73.2,94,89,5.79
156,Diamantino,BR,2020-10-27 02:32:36,-14.41,-56.45,79.18,64,100,1.68
157,Roros,NO,2020-10-27 02:32:36,62.57,11.38,35.6,90,95,1.12
158,Quito,EC,2020-10-27 02:30:19,-0.23,-78.52,53.6,93,75,9.17
159,Vao,NC,2020-10-27 02:32:37,-22.67,167.48,73.33,81,15,19.15
160,Mayor Pablo Lagerenza,PY,2020-10-27 02:32:37,-19.93,-60.77,72.52,68,33,5.37
161,Kikwit,CD,2020-10-27 02:32:37,-5.04,18.82,68.43,97,42,0.85
162,Sairang,IN,2020-10-27 02:32:38,23.8,92.67,78.8,83,40,1.14
163,Skara,SE,2020-10-27 02:32:38,58.39,13.44,46.99,93,40,5.82
164,Sorland,NO,2020-10-27 02:32:38,67.67,12.69,48.49,72,1,17.69
165,Ambon,ID,2020-10-27 02:32:38,-3.7,128.18,89.6,62,40,4.7
166,Axim,GH,2020-10-27 02:32:38,4.87,-2.24,77.81,87,87,5.26
167,Cherskiy,RU,2020-10-27 02:32:39,68.75,161.3,7.21,94,84,8.14
168,Berlevag,NO,2020-10-27 02:32:39,70.86,29.09,37.99,78,2,14.54
169,Hedaru,TZ,2020-10-27 02:32:39,-4.5,37.9,67.8,88,86,2.06
170,Sibu,MY,2020-10-27 02:32:39,2.3,111.82,80.6,78,20,9.17
171,Fortuna,US,2020-10-27 02:27:59,40.6,-124.16,51.01,70,1,4.21
172,Berbera,SO,2020-10-27 02:32:40,10.44,45.01,78.66,55,8,4.94
173,Khatanga,RU,2020-10-27 02:32:40,71.97,102.5,2.12,94,89,9.17
174,Tuktoyaktuk,CA,2020-10-27 02:32:25,69.45,-133.04,10.4,78,20,14.99
175,Kalangala,UG,2020-10-27 02:32:40,-0.31,32.23,66.2,93,20,11.41
176,Yenagoa,NG,2020-10-27 02:32:41,4.92,6.26,75.56,94,99,1.43
177,Norman Wells,CA,2020-10-27 02:32:41,65.28,-126.83,24.8,79,75,18.34
178,Biak,ID,2020-10-27 02:32:41,-0.91,122.88,85.64,60,96,3.62
179,Batemans Bay,AU,2020-10-27 02:32:41,-35.72,150.18,60.01,84,87,3.0
180,Oistins,BB,2020-10-27 02:32:41,13.07,-59.53,78.8,78,75,17.22
181,Tuatapere,NZ,2020-10-27 02:32:42,-46.13,167.68,57.0,64,51,8.99
182,Naron,ES,2020-10-27 02:32:42,43.52,-8.15,57.0,82,40,6.93
183,La Ronge,CA,2020-10-27 02:32:42,55.1,-105.28,24.8,62,75,4.7
184,Taikang,CN,2020-10-27 02:32:42,46.83,124.42,43.83,55,0,14.38
185,Cayenne,GF,2020-10-27 02:30:57,4.93,-52.33,78.8,100,0,1.12
186,Souillac,MU,2020-10-27 02:32:43,-20.52,57.52,71.6,78,40,6.93
187,Alice Springs,AU,2020-10-27 02:30:56,-23.7,133.88,80.6,15,0,9.17
188,Liverpool,GB,2020-10-27 02:32:43,53.41,-2.98,46.99,87,48,4.7
189,Santa Cruz De La Palma,ES,2020-10-27 02:31:45,28.68,-17.76,69.8,60,20,9.17
190,Sunrise Manor,US,2020-10-27 02:32:43,36.21,-115.07,55.0,8,1,4.7
191,Zhigansk,RU,2020-10-27 02:32:44,66.77,123.37,2.59,92,100,11.34
192,Salalah,OM,2020-10-27 02:30:06,17.02,54.09,73.4,64,0,2.24
193,Asau,RO,2020-10-27 02:32:44,46.43,26.4,46.99,98,0,3.13
194,Pochutla,MX,2020-10-27 02:32:44,15.74,-96.47,75.0,95,100,3.0
195,Svencionys,LT,2020-10-27 02:32:44,55.15,26.17,45.97,89,9,12.33
196,Tiksi,RU,2020-10-27 02:32:45,71.69,128.87,6.24,93,96,5.03
197,Arraial Do Cabo,BR,2020-10-27 02:32:45,-22.97,-42.03,72.05,88,6,11.3
198,Iqaluit,CA,2020-10-27 02:32:45,63.75,-68.51,14.0,85,90,4.7
199,Beringovskiy,RU,2020-10-27 02:32:45,63.05,179.32,33.19,86,0,2.53
200,Kargopol,RU,2020-10-27 02:32:46,61.51,38.95,40.41,92,100,9.17
201,Villazon,BO,2020-10-27 02:32:46,-22.09,-65.59,48.79,66,13,13.13
202,Laguna,US,2020-10-27 02:31:29,38.42,-121.42,69.01,8,1,12.75
203,Medvedka,RU,2020-10-27 02:32:46,61.16,46.39,26.74,97,92,7.05
204,Saldanha,ZA,2020-10-27 02:32:46,-33.01,17.94,59.0,87,9,5.82
205,Rimouski,CA,2020-10-27 02:31:11,48.45,-68.52,32.0,97,90,4.7
206,Lafiagi,NG,2020-10-27 02:32:47,8.87,5.42,75.2,60,39,1.32
207,Yumen,CN,2020-10-27 02:32:47,40.28,97.2,45.93,46,100,12.86
208,Kununurra,AU,2020-10-27 02:32:47,-15.77,128.73,86.0,62,40,6.93
209,Sungaipenuh,ID,2020-10-27 02:32:47,-2.08,101.38,75.79,62,100,4.61
210,Thompson,CA,2020-10-27 02:32:48,55.74,-97.86,23.0,57,5,8.05
